retailer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
RTL1000,242,5,29418.03,3,5,5,355,Others
RTL1001,664,1,1054.81,1,1,1,111,At Risk
RTL1002,420,1,49.08,2,1,1,211,At Risk
RTL1003,227,3,27764.019999999997,3,3,5,335,Others
RTL1004,375,1,2780.64,2,1,2,212,At Risk
RTL1005,487,1,7688.07,2,1,3,213,At Risk
RTL1006,192,2,14199.92,4,2,4,424,Recent Customer
RTL1007,25,2,2760.4,5,2,2,522,Recent Customer
RTL1009,21,5,25381.41,5,5,5,555,Champion
RTL1010,388,2,14241.29,2,2,4,224,At Risk
RTL1011,25,3,10497.0,5,3,3,533,Recent Customer
RTL1013,530,2,8901.1,2,2,3,223,At Risk
RTL1015,44,1,2865.96,5,1,2,512,Recent Customer
RTL1016,94,4,17957.079999999998,4,4,4,444,Loyal Customer
RTL1017,341,2,1477.37,2,2,1,221,At Risk
RTL1018,618,2,5052.32,1,2,2,122,At Risk
RTL1020,503,1,6833.76,2,1,3,213,At Risk
RTL1021,132,2,456.87,4,2,1,421,Recent Customer
RTL1022,139,4,29338.97,4,4,5,445,Loyal Customer
RTL1023,46,2,1190.4099999999999,5,2,1,521,Recent Customer
RTL1024,902,1,49.13,1,1,1,111,At Risk
RTL1025,436,2,1136.11,2,2,1,221,At Risk
RTL1026,200,2,1761154.3,3,2,5,325,Others
RTL1027,355,5,13452.43,2,5,4,254,At Risk
RTL1028,189,2,18797.79,4,2,5,425,Recent Customer
RTL1029,599,1,6252.0,1,1,3,113,At Risk
RTL1030,247,1,12622.4,3,1,4,314,Others
RTL1031,354,4,11736.92,2,4,4,244,At Risk
RTL1032,64,7,53445.700000000004,5,5,5,555,Champion
RTL1033,234,2,4038.73,3,2,2,322,Others
RTL1034,868,1,1338.63,1,1,1,111,At Risk
RTL1035,567,2,2731.71,1,2,2,122,At Risk
RTL1036,428,1,9499.81,2,1,3,213,At Risk
RTL1038,375,3,11184.92,2,3,4,234,At Risk
RTL1039,99,1,3347.52,4,1,2,412,Recent Customer
RTL1040,579,1,2571.1,1,1,2,112,At Risk
RTL1043,97,4,23446.4,4,4,5,445,Loyal Customer
RTL1044,239,2,18631.4,3,2,4,324,Others
RTL1045,671,2,15173.36,1,2,4,124,At Risk
RTL1046,873,1,153.67,1,1,1,111,At Risk
RTL1047,876,1,52.28,1,1,1,111,At Risk
